id_client,nb_jours_abonne,duree_appel_jour(minutes),nb_appel_jour,cout_appel_jour,duree_appel_soiree(minutes),nb_appel_soiree,cout_appel_soiree,duree_appel_nuit(minutes),nb_appel_nuit,cout_appel_nuit,duree_appel_inter(minutes),nb_appel_inter,cout_appel_inter,active_msg_vocaux,nb_msg_vocaux,nb_reclamation,churn
 404-2877,118,154.8,71,26.32,244,73,20.74,159.6,81,7.18,12.8,4,3.46, no,0,0, False.
 417-7913,101,133.5,51,22.7,219.6,96,18.67,210,74,9.45,11.7,4,3.16, no,0,1, False.
 399-2457,102,273.2,85,46.44,211.1,82,17.94,203.7,129,9.17,13.1,7,3.54, no,0,2, True.
 419-3427,118,224.6,94,38.18,225.9,120,19.2,269,105,12.11,12.5,8,3.38, no,0,2, False.
 358-2490,105,273.8,97,46.55,289.7,106,24.62,269.1,126,12.11,5.8,3,1.57, no,0,2, True.
 349-3112,153,159.5,103,27.12,275.5,90,23.42,176.7,126,7.95,10.1,2,2.73, no,0,1, True.
 414-5422,71,104,92,17.68,197,125,16.75,110.1,123,4.95,14.6,8,3.94, no,0,0, False.
 386-3766,71,115.4,90,19.62,217.4,78,18.48,239.9,102,10.8,13.1,4,3.54, yes,31,1, False.
 386-9724,68,222.1,107,37.76,199.4,102,16.95,162.4,107,7.31,9.4,3,2.54, no,0,2, False.
 416-7393,66,116.4,98,19.79,95.6,74,8.13,181.5,94,8.17,10.5,3,2.84, no,0,3, False.
 395-1380,101,217.7,118,37.01,231.7,128,19.69,185.3,128,8.34,0,0,0, no,0,3,
 408-4911,116,129.4,84,22,157.3,89,13.37,215.5,77,9.7,13.3,3,3.59, no,0,0, False.
 387-4064,54,161.8,73,27.51,273,58,23.21,153.9,76,6.93,13.7,4,3.7, yes,33,0, False.
 380-5667,112,198.8,122,33.8,238.6,114,20.28,289.5,69,13.03,11.5,5,3.11, yes,29,1, False.
 402-8930,122,147.8,85,25.13,147.4,93,12.53,203.5,110,9.16,14,5,3.78, yes,45,1, False.
 336-6533,74,262.3,114,44.59,198.9,96,16.91,165.9,90,7.47,6.6,5,1.78, no,0,3, False.
 359-9992,,246.4,83,41.89,160.3,88,13.63,170.9,99,7.69,7.6,7,2.05, no,0,1, False.
 391-1737,112,174.3,123,29.63,140.2,124,11.92,215.4,89,9.69,9,6,2.43, no,0,4, True.
 404-2871,85,183.4,111,31.18,168.8,98,14.35,199.7,97,8.99,9.9,4,2.67, no,0,4, False.
 420-6121,100,191.9,95,,200.9,101,17.08,271.9,74,12.24,18.2,3,4.91, no,0,1, False.
 369-4012,114,187.8,109,31.93,154.6,97,13.14,213.9,102,9.63,10.1,3,2.73, no,0,2, False.
 357-2294,83,259.7,106,44.15,152.7,116,12.98,224.7,92,10.11,10.2,2,2.75, no,0,0, False.
 348-9938,157,180.4,123,30.67,194,98,16.49,227.3,88,10.23,8.4,5,2.27, no,0,0, False.
 394-3023,51,51.8,107,8.81,230.2,104,19.57,227.5,118,10.24,10.4,4,2.81, no,0,2, False.
 352-5466,42,303.9,106,51.66,232.2,54,19.74,147.1,76,6.62,5.8,3,1.57, no,0,1, True.
 364-5510,101,123.7,125,21.03,172.6,106,14.67,280.5,127,12.62,8.8,4,2.38, yes,36,1, True.
 396-6462,112,206.2,122,35.05,164.5,94,13.98,140.3,101,6.31,12.6,7,3.4, no,0,3, False.
 384-5335,56,164.3,92,27.93,233.7,107,19.86,187.3,104,8.43,11.8,1,3.19, no,0,2, False.
 416-6886,53,228.6,117,38.86,132.8,123,11.29,227.2,124,10.22,10.1,2,2.73, no,0,9, True.
 357-2748,64,200.4,80,34.07,131.1,84,11.14,230.7,67,10.38,7.6,5,2.05, yes,22,1, False.
 386-7976,123,154.3,107,26.23,183,111,15.56,54,134,2.43,10.9,8,2.94, no,0,0, False.
 403-9199,68,122.9,93,20.89,233.5,91,19.85,199.5,144,8.98,9.6,2,2.59, yes,30,2, False.
 361-1900,40,220.8,100,37.54,265.7,106,22.58,212.8,94,9.58,6.4,3,1.73, no,0,0, False.
 405-3848,132,214.6,78,36.48,251.7,98,21.39,240.8,88,10.84,13.9,2,3.75, no,0,0, False.
 344-1136,120,202,123,34.34,184.3,78,15.67,176,89,7.92,7.4,2,2, no,0,2, True.
 378-6276,108,209.5,108,35.62,109.6,64,9.32,189.7,145,8.54,9.1,6,2.46, yes,32,6, True.
 343-2592,161,297.9,141,50.64,238.1,107,20.24,240.5,93,10.82,8.9,5,2.4, no,0,1, True.
 396-4410,130,212.8,102,36.18,189.8,137,16.13,170.1,,7.65,10.6,4,2.86, no,0,0, True.
 397-3943,122,145.6,102,24.75,284.7,111,24.2,228.2,91,10.27,12.2,5,3.29, no,0,0, False.
 347-3821,130,152.9,87,25.99,213.2,99,18.12,205.3,114,9.24,10.8,6,2.92, yes,19,2, False.
 400-8069,90,125.4,158,21.32,269.1,83,22.87,238.6,103,10.74,11,7,2.97, no,0,1, False.
 346-5349,139,138.3,96,23.51,80.6,79,6.85,163.7,83,7.37,8.3,8,2.24, yes,25,0, False.
 345-5089,57,189.3,157,32.18,174.9,70,14.87,221.9,117,9.99,11.2,5,3.02, no,0,3, False.
 410-4613,128,199.3,86,33.88,194.8,102,16.56,298.2,82,13.42,14.3,2,3.86, no,0,4, False.
 356-4706,127,247.5,99,42.08,108.5,118,9.22,232,72,10.44,10.6,3,2.86, no,0,2, False.
 347-3406,107,294.9,71,50.13,192.8,78,16.39,148.1,87,6.66,13.2,5,3.56, no,0,1, True.
 333-9133,177,175.4,99,29.82,155.3,83,13.2,179.4,86,8.07,11.5,3,3.11, no,0,1, False.
 392-2459,121,179.4,70,30.5,143,93,12.16,116.3,113,5.23,11.2,5,3.02, no,0,1, False.
 401-3685,99,126.8,94,21.56,293.6,115,24.96,174.1,91,7.83,8.4,4,2.27, yes,39,0, False.
 352-7752,126,239.7,87,40.75,281.7,92,23.94,183.5,113,8.26,11.4,1,3.08, no,0,1, True.
 388-9285,77,143,101,24.31,212.2,102,18.04,104.9,120,4.72,15.3,4,4.13, yes,33,5, True.
 332-5582,21,91.9,109,15.62,198.4,111,16.86,171.7,125,7.73,13,7,3.51, no,0,2, False.
 376-2550,56,210.4,80,35.77,176.6,96,15.01,149.7,56,6.74,15.5,4,4.19, no,0,1, False.
 333-4594,92,201.3,130,34.22,203.7,115,17.31,129.9,113,5.85,6.4,6,1.73, yes,29,1, True.
 375-2522,81,145.6,59,24.75,287.9,131,24.47,181.7,121,8.18,9.2,4,2.48, no,0,2, False.
 388-2240,139,203.5,82,34.6,200.3,72,17.03,214,112,9.63,13.4,6,3.62, yes,31,1, True.
 420-1782,68,232.4,76,39.51,153.3,103,13.03,214.6,107,9.66,10.5,2,2.84, no,0,1, False.
 384-8890,183,86.5,119,14.71,285.2,97,24.24,180.4,133,8.12,8.7,2,2.35, yes,8,2, False.
 371-4788,90,109.9,102,18.68,220.8,114,18.77,104,133,4.68,10.9,6,2.94, no,0,0, False.
 360-5636,165,156,88,26.52,276.1,81,23.47,175.9,94,7.92,9.3,5,2.51, no,0,1, False.
 373-4264,89,326.3,112,55.47,165.1,110,14.03,162.9,97,7.33,7.5,1,2.03, no,0,1, True.
 352-9836,59,195,58,33.15,198.5,88,16.87,304.3,110,13.69,14.8,9,4, no,0,0, False.
 342-2013,16,110,91,18.7,147.3,75,12.52,190.5,73,8.57,6.4,7,1.73, no,0,0, False.
 354-5689,114,147.1,119,25.01,161,111,13.69,275.9,106,12.42,9,3,2.43, no,0,5, True.
 335-8427,113,156,141,26.52,256.8,72,21.83,175.3,123,7.89,11.9,5,3.21, no,0,2, False.
 409-6753,120,98.2,99,16.69,186.7,85,15.87,146.7,96,6.6,9.3,4,2.51, no,0,2, False.
 349-1756,115,210.6,120,35.8,153.1,84,13.01,262.2,79,11.8,11,5,2.97, no,0,0, False.
 328-8980,37,239.9,120,40.78,261.6,88,22.24,207.1,88,9.32,8.9,4,2.4, no,0,2, True.
 399-2151,100,159.9,94,27.18,179.9,95,15.29,154.4,102,6.95,11.6,2,3.13, no,0,2, True.
 379-9524,132,197.8,66,33.63,133.9,119,11.38,177.3,94,7.98,10.9,3,2.94, no,0,4, True.
 352-9947,38,115.4,98,19.62,166.2,83,14.13,184.7,79,8.31,15.2,6,4.1, yes,36,2, False.
 336-1043,1,123.8,113,21.05,236.2,77,20.08,73.2,81,3.29,3.7,2,1, no,0,0, False.
 416-7013,97,117.6,97,19.99,196.3,126,16.69,157.4,113,7.08,6.4,3,1.73, yes,15,1, False.
 345-4551,55,105.3,82,17.9,197.4,109,16.78,187.5,91,8.44,8.6,6,2.32, yes,28,2, False.
 405-9864,75,111.7,121,18.99,237.3,119,20.17,253.5,110,11.41,13.1,6,3.54, no,0,1, False.
 350-4297,83,159.3,104,27.08,202.3,98,17.2,229,73,10.31,9.5,3,2.57, no,0,2, False.
 350-7114,40,81.7,123,13.89,210.2,108,17.87,212,64,9.54,11.3,3,3.05, no,0,6, True.
 400-4244,101,238,88,40.46,209.6,84,17.82,233,95,10.49,10,5,2.7, yes,21,2, False.
 417-2608,120,128.1,99,21.78,247.7,78,21.05,199.7,121,8.99,15.6,3,4.21, yes,40,0, False.
 372-2990,183,171.2,104,29.1,193.6,74,16.46,196.5,85,8.84,10.2,4,2.75, yes,31,1, False.
 353-9998,75,109,88,18.53,259.3,120,22.04,182.1,119,8.19,13.3,3,3.59, no,0,4, True.
 330-3008,80,220,114,37.4,207.7,76,17.65,168.4,137,7.58,12.1,3,3.27, no,0,2, False.
 384-8629,88,55.6,65,9.45,242.7,121,20.63,176.3,134,7.93,11.3,4,3.05, no,0,0, False.
 404-9504,112,286.6,79,48.72,315.3,102,26.8,193.9,101,8.73,10.3,6,2.78, yes,23,1, False.
 405-8753,63,207.6,96,35.29,229,112,19.47,162.6,131,7.32,13.3,2,3.59, no,0,1, False.
 409-9911,105,109.6,108,18.63,249.3,119,21.19,321.2,101,14.45,8.3,4,2.24, yes,31,4, True.
 394-4260,92,197.2,113,33.52,242.3,116,20.6,192,76,8.64,11,5,2.97, no,0,2, False.
 380-9063,177,175.7,120,29.87,168.6,90,14.33,198.9,110,8.95,14.6,4,3.94, no,0,1, False.
 395-4509,118,205.2,115,34.88,184.8,137,15.71,176.1,115,7.92,7,6,1.89, no,0,0, False.
 401-6671,111,193.1,104,32.83,111.6,98,9.49,227.4,94,10.23,12.1,4,3.27, yes,13,1, False.
 405-7204,82,232.6,121,39.54,153.2,115,13.02,286.7,77,12.9,4.7,3,1.27, yes,34,3, False.
 329-5377,74,102.7,89,17.46,149.3,100,12.69,188.1,114,8.46,11,5,2.97, no,0,0, False.
 408-9572,121,263.1,70,44.73,279.3,118,23.74,127.1,143,5.72,9.7,4,2.62, yes,31,5, False.
 380-9879,131,197,79,33.49,201,114,17.09,151.2,111,6.8,11.6,5,3.13, no,0,1, False.
 384-9243,125,169.3,90,28.78,156,138,13.26,210.8,106,9.49,11.6,6,3.13, no,0,2, False.
 404-5597,19,201.5,123,34.26,129.2,110,10.98,220.6,98,9.93,12.9,4,3.48, no,0,1, False.
 359-7521,138,251,119,42.67,91.2,96,7.75,142.2,87,6.4,13.8,3,3.73, no,0,3, False.
 327-4795,119,230.4,117,39.17,225,101,19.13,198.5,111,8.93,7.6,6,2.05, no,0,3, False.
 338-7955,137,109.8,120,18.67,230.5,86,19.59,255.8,103,11.51,11.9,6,3.21, no,0,1, False.
 379-6970,182,279.5,118,47.52,203.2,113,17.27,174.2,101,7.84,10.7,4,2.89, no,0,2, True.
 351-7807,135,173.4,107,29.48,222,84,18.87,64.2,94,2.89,13.7,6,3.7, no,0,1, False.
 342-9394,134,214.4,93,36.45,211.7,57,17.99,165,79,7.43,10,8,2.7, yes,38,1, False.
 384-6264,45,96.1,103,16.34,246.8,134,20.98,229.7,92,10.34,9.7,4,2.62, no,0,1, False.
 352-4534,129,101.4,145,17.24,249.1,116,21.17,157.6,107,7.09,7.1,6,1.92, no,0,1, False.
 378-4617,142,232.5,74,39.53,181.8,142,15.45,203.1,86,9.14,10.4,6,2.81, no,0,4, False.
 364-9567,130,174.5,120,29.67,217.5,95,18.49,220.3,67,9.91,12.2,2,3.29, yes,45,1, False.
 371-5875,163,224,126,38.08,233.5,89,19.85,293.9,104,13.23,8.8,4,2.38, yes,23,1, False.
 383-6489,105,211.1,99,35.89,176.7,66,15.02,221.5,96,9.97,14.7,7,3.97, no,0,4, False.
 345-7117,119,109.2,96,18.56,153.1,80,13.01,240,102,10.8,9.8,5,2.65, no,0,2, False.
 384-3902,78,220,95,37.4,179.9,121,15.29,188.2,109,8.47,11.5,5,3.11, no,0,0, False.
 386-2759,92,181.4,98,30.84,164.5,98,13.98,171,110,7.69,10.9,4,2.94, no,0,2, False.
 356-1270,146,180.7,82,30.72,173.7,90,14.76,231.5,89,10.42,10.1,4,2.73, yes,11,2, False.
 379-1336,125,96.5,109,16.41,145.8,109,12.39,174.4,82,7.85,9.4,2,2.54, yes,32,, False.
 354-7201,88,183.5,93,31.2,170.5,80,14.49,193.8,88,8.72,8.3,5,2.24, no,0,3, False.
 404-5057,83,107.9,90,18.34,140.4,94,11.93,253.6,79,11.41,10.5,2,2.84, yes,38,0, False.
 407-8012,3,161,96,27.37,244.9,82,20.82,180.8,103,8.14,7.7,6,2.08, no,0,1, False.
 332-6139,152,146.8,128,24.96,285.6,96,24.28,213.6,80,9.61,4.3,2,1.16, yes,41,1, True.
 328-1373,48,149.2,146,25.36,161.9,109,13.76,197.9,109,8.91,8.3,2,2.24, no,0,3, False.
 411-6501,189,227.8,124,38.73,169.5,112,14.41,201.1,91,9.05,5.6,4,1.51, no,0,3, False.
 329-8056,95,160.3,87,27.25,202.4,101,17.2,191.1,122,8.6,7.4,3,2, yes,23,0, False.
 415-4564,129,137.8,120,23.43,225.8,110,19.19,145.2,95,6.53,10.2,6,2.75, no,0,1, True.
 329-6192,66,141.7,87,24.09,268.3,89,22.81,241.3,68,10.86,8.5,7,2.3, yes,40,0, False.
 384-3904,80,196.4,115,33.39,150.3,109,12.78,176.2,75,7.93,9.3,1,2.51, yes,22,0, False.
 373-1028,1,175.2,74,29.78,151.7,79,12.89,230.5,109,10.37,5.3,3,1.43, no,0,1, False.
 369-1220,84,146.8,133,24.96,171.7,73,14.59,234.5,69,10.55,9.9,3,2.67,,0,1, False.
 359-9369,96,173.9,111,29.56,287.4,105,24.43,204.8,91,9.22,9.1,7,2.46, no,0,1, False.
 415-3016,123,305.2,80,51.88,156.5,109,13.3,280,81,12.6,13.2,7,3.56, yes,34,1, False.
 414-7090,116,162.3,91,27.59,279.3,79,23.74,192.7,131,8.67,11.7,2,3.16, yes,29,3, True.
 350-2250,105,150,106,25.5,293.8,123,24.97,250.7,65,11.28,10.3,7,2.78, no,0,3, False.
 383-9355,80,197.5,114,33.58,206.9,119,17.59,163.6,109,7.36,11.3,4,3.05, no,0,1, False.
 417-3257,157,240.2,67,40.83,153,98,13.01,249,72,11.21,10.2,6,2.75, no,0,2, False.
 336-8010,67,186.2,117,31.65,286.7,76,24.37,164.3,113,7.39,12.9,3,3.48, yes,30,2, False.
 354-7718,141,116.9,127,19.87,276.5,88,23.5,289.9,125,13.05,12.3,2,3.32, yes,39,0, False.
 358-4412,79,236.7,95,40.24,263.5,56,22.4,259.6,107,11.68,12,4,3.24, yes,17,1, False.
 368-8972,76,173.2,93,29.44,131.2,80,11.15,170.9,104,7.69,5.4,3,1.46, no,0,0, False.
 407-9841,111,152.2,114,25.87,137.2,102,11.66,185.9,97,8.37,9.8,3,2.65, no,0,0, False.
 393-5208,94,181.3,135,30.82,182.4,108,15.5,180.6,103,8.13,6.7,2,1.81, no,0,0, False.
 332-2889,143,167.8,72,28.53,211,99,17.94,153.5,109,6.91,10.5,6,2.84, no,0,4, True.
 374-5530,109,175.4,125,29.82,250.7,87,21.31,289.3,74,13.02,9.8,9,2.65, no,0,1, False.
 332-3381,138,87.6,112,14.89,266.9,107,22.69,214.6,104,9.66,9.8,10,2.65, no,0,2, False.
 344-9347,73,203.3,45,34.56,141.9,87,12.06,200.7,71,9.03,8.5,6,2.3, no,0,0, False.
 412-1991,21,92.6,95,15.74,161.9,70,13.76,285,78,12.83,11.3,3,3.05, no,0,5, True.
 393-4528,148,262.9,135,44.69,149.5,96,12.71,140.5,109,6.32,8.1,4,2.19, yes,21,1, False.
 347-2378,103,160.8,91,27.34,155.8,82,13.24,254.3,103,11.44,8.5,3,2.3, no,0,1, False.
 385-2699,143,141.8,116,24.11,167.3,99,14.22,178.1,130,8.01,7.8,3,2.11, yes,22,1, False.
 383-4319,79,50.6,62,8.6,201.4,87,17.12,146.8,121,6.61,4.2,4,1.13, yes,32,2, False.
 352-7915,89,134.9,59,22.93,156,152,13.26,197.5,112,8.89,10.2,5,2.75, no,0,1, False.
 375-5547,120,252.1,110,42.86,226.1,103,19.22,155.6,83,7,13.8,3,3.73, no,0,1, False.
 337-2348,121,215.5,95,36.64,241.8,92,20.55,147,108,6.61,9.6,3,2.59, yes,41,1, False.
 342-8702,101,124.8,66,21.22,257.2,85,21.86,193.2,115,8.69,13.4,4,3.62, no,0,0, False.
 393-5802,115,178.7,114,30.38,271,96,23.04,245.9,94,11.07,16.4,5,4.43, no,0,2, False.
 384-2219,168,183.2,131,31.14,179.2,73,15.23,292.8,100,13.18,9.9,5,2.67, no,0,2, False.
 347-6164,90,167.5,96,28.48,139.1,104,11.82,138.4,87,6.23,13,1,3.51, no,0,1, False.
 376-9940,70,147.1,105,25.01,200,135,17,234.9,65,10.57,12.5,9,3.38, no,0,3, False.
 354-4352,138,230.1,107,39.12,212,120,18.02,174.9,119,7.87,13.2,4,3.56, no,0,1, False.
 331-8713,43,135.8,125,23.09,163.2,88,13.87,229.8,106,10.34,12.6,3,3.4, no,0,0, False.
 341-3663,117,205.7,98,34.97,136.1,107,11.57,159.4,147,7.17,8.7,3,2.35, yes,20,2, False.
 376-4665,108,73.8,105,12.55,143.4,114,12.19,170.2,98,7.66,10.9,3,2.94, no,0,2, False.
 421-9034,118,189.3,119,32.18,233.5,112,19.85,270.9,104,12.19,10,1,2.7, no,0,2, False.
 401-5169,169,147.2,115,25.02,161.9,123,13.76,142.1,103,6.39,7.2,6,1.94, no,0,3, False.
 370-8262,62,137.3,95,23.34,184.2,94,15.66,231.4,70,10.41,10.2,3,2.75, yes,42,0, False.
 387-2041,86,70.7,125,12.02,211,113,17.94,174.6,107,7.86,0,0,0, no,0,2, False.
 356-4146,44,204.6,117,34.78,205.2,94,17.44,164.6,84,7.41,10.7,5,2.89, no,0,0, False.
 372-8883,111,123.1,88,20.93,213.9,84,18.18,184.9,88,8.32,12,2,3.24, no,0,5, True.
 336-1880,127,129.7,115,22.05,160.8,101,13.67,265,63,11.93,12.2,3,3.29, yes,19,2, False.
 347-5843,151,198.7,70,33.78,209.5,106,17.81,281.9,126,12.69,12.4,4,3.35, no,0,0, False.
 370-8023,53,145.1,116,24.67,233.7,82,19.86,208.7,95,9.39,7.9,5,2.13, no,0,2, False.
 417-9814,15,135.2,101,22.98,152.5,79,12.96,224.8,83,10.12,8.4,5,2.27, no,0,2, False.
 387-3422,123,124.7,105,21.2,250.4,78,21.28,216.4,128,9.74,7.8,8,2.11, yes,28,1, False.
 365-1664,137,215.9,76,36.7,145.4,118,12.36,186.9,129,8.41,12.1,4,3.27, no,0,1, False.
 367-2436,106,119.2,142,20.26,228.4,139,19.41,197.9,61,8.91,8.4,9,2.27, no,0,2, False.
 344-6258,88,144.3,116,24.53,156.4,74,13.29,214.7,90,9.66,7.8,10,2.11, no,0,3, False.
 353-8928,106,235.2,121,39.98,220.6,87,18.75,236.3,91,10.63,11.8,4,3.19, no,0,1, False.
 365-7784,95,174,57,29.58,281.1,118,23.89,197.2,94,8.87,9.7,2,2.62, no,0,0, False.
 330-2635,57,115,65,19.55,122.3,96,10.4,245,75,11.03,6.4,1,1.73, no,0,0, True.
 344-3131,184,151.7,93,25.79,178.5,77,15.17,229.1,111,10.31,13.1,8,3.54, no,0,2, False.
 378-4294,109,153.1,102,26.03,234.1,77,19.9,329.2,74,14.81,9.9,9,2.67, no,0,3, False.
 343-9365,127,218.6,93,37.16,149.9,130,12.74,204.6,131,9.21,9.2,5,2.48, no,0,2, False.
 362-5579,82,265.2,122,45.08,178.7,102,15.19,174.7,90,7.86,10.7,9,2.89, no,0,2, False.
 366-7616,180,143.3,134,24.36,180.5,113,15.34,184.2,87,8.29,10.1,4,2.73, no,0,1, False.
 397-2870,174,190.3,98,32.35,252.7,70,21.48,220.6,97,9.93,7.2,9,1.94, no,0,2, False.
 408-3262,92,184.7,60,31.4,262,73,22.27,239.5,120,10.78,12.3,6,3.32, no,0,2, True.
 372-9091,81,115.3,99,19.6,224.7,117,19.1,152.5,98,6.86,18,2,4.86, no,0,1, False.
 410-3159,125,113,108,19.21,169.2,107,14.38,156.6,61,7.05,9.2,5,2.48, no,0,2, True.
 344-5181,119,294.2,100,50.01,232.5,53,19.76,195,64,8.78,9,1,2.43, no,0,0, True.
 396-8662,122,215.6,86,36.65,167.8,59,14.26,207,67,9.32,6.4,8,1.73, no,0,3, False.
 339-6446,34,128.8,80,21.9,208.7,93,17.74,202.1,103,9.09,14,7,3.78, no,0,1, False.
 384-7236,138,211.2,117,35.9,312.5,98,26.56,178,118,8.01,10.7,2,2.89, yes,28,3, True.
 353-5257,90,71.2,82,12.1,181.6,103,15.44,186.9,111,8.41,12.9,1,3.48, yes,24,1, False.
 369-7295,73,94.9,121,16.13,253.2,83,21.52,175.1,86,7.88,14.2,2,3.83, no,0,2, False.
 408-5322,19,259.4,116,44.1,269.7,109,22.92,175.3,130,7.89,9.5,3,2.57, no,0,1, True.
 344-9620,120,215.8,123,36.69,285.2,76,24.24,192.1,78,8.64,6.9,3,1.86, yes,28,1, False.
 329-8436,160,97.5,113,16.58,268.1,69,22.79,255.3,62,11.49,13.2,4,3.56, no,0,3, False.
 414-6739,141,146.5,121,24.91,169.9,125,14.44,238.8,112,10.75,8.2,5,2.21, no,0,0, False.
 406-1730,90,157.9,72,26.84,234,93,19.89,210,86,9.45,12.2,5,3.29, no,0,2, False.
 336-9327,72,139.9,117,23.78,223.6,96,19.01,240.8,93,10.84,12.7,4,3.43, no,0,2, False.
 378-7418,117,153.2,112,26.04,263.3,110,22.38,135,85,6.08,11.9,7,3.21, yes,21,1, False.
 412-6019,79,103.5,134,17.6,319.3,111,27.14,239.9,124,10.8,8.4,4,2.27, no,0,2, False.
 390-4789,87,185.8,119,31.59,192.3,83,16.35,200,96,9,6.6,4,1.78, no,0,1, False.
 386-9774,102,129.5,56,22.02,354.2,118,30.11,145.5,93,6.55,10.9,3,2.94, no,0,1, False.
 353-8970,49,236.6,91,40.22,220.9,146,18.78,146.8,114,6.61,8.9,2,2.4, no,0,1, False.
 410-5370,67,260.4,107,44.27,208.2,104,17.7,207.9,115,9.36,10,2,2.7, no,0,6, False.
 404-4421,107,167.3,100,28.44,163.9,79,13.93,185.9,100,8.37,6.7,5,1.81, no,0,2, False.
 409-3353,190,182.2,101,30.97,212.3,95,18.05,233,123,10.49,9.3,4,2.51, no,0,2, False.
 422-2571,118,113,80,19.21,150.1,87,12.76,204.3,115,9.19,10.8,4,2.92, no,0,2, False.
 412-3404,120,185.7,133,31.57,235.1,149,19.98,256.4,78,11.54,16.9,6,4.56, no,0,0, False.
 333-2964,94,136.2,114,23.15,165.1,118,14.03,137.9,71,6.21,9.6,5,2.59, no,0,0, False.
 406-6669,115,222.6,81,37.84,190.3,109,16.18,201.2,87,9.05,11.5,2,3.11, yes,29,1, False.
 409-8802,61,197.3,67,33.54,264.5,106,22.48,210.5,116,9.47,9,6,2.43, no,0,1, False.
 354-6183,143,141.4,130,24.04,186.4,114,15.84,210,111,9.45,7.7,6,2.08, yes,33,1, False.
 354-2434,110,208,69,35.36,95.1,94,8.08,178.5,129,8.03,8,11,2.16, no,0,1, False.
 389-7620,104,118.5,92,20.15,177.8,109,15.11,255.7,98,11.51,12.1,4,3.27, no,0,1, False.
 338-1724,16,153.2,65,26.04,229.7,90,19.52,148.2,94,6.67,10.7,8,2.89, no,0,1, False.
 399-1750,183,108.3,87,18.41,183.6,116,15.61,176.6,109,7.95,13.5,2,3.65, no,0,0, False.
 354-8914,147,168.6,92,28.66,187.7,107,15.95,216.5,95,9.74,14.4,8,3.89, no,0,2, False.
 409-2983,58,247.2,116,42.02,303.7,103,25.81,105.4,94,4.74,9.3,2,2.51, no,0,2, True.
 329-9689,102,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,12,8,3.24, no,0,3, False.
 337-8950,123,166.9,98,28.37,221.8,77,18.85,243.9,114,10.98,12.8,4,3.46, no,0,3, False.
 374-1836,64,118.4,100,20.13,144.1,108,12.25,158.1,91,7.11,8.5,6,2.3, yes,43,1, False.
 359-9454,103,190.9,62,32.45,226.6,53,19.26,230.1,96,10.35,7.8,3,2.11, no,0,2, False.
 378-9542,152,317.8,60,54.03,152.9,100,13,123.4,63,5.55,10.4,7,2.81, no,0,1, True.
 344-1970,124,312,112,53.04,180,109,15.3,168.6,94,7.59,12.8,4,3.46, no,0,1, True.
 417-2774,97,146,121,24.82,203,141,17.26,151.8,120,6.83,13.3,2,3.59, no,0,1, False.
 333-9002,131,131.6,95,22.37,179.3,109,15.24,251.2,129,11.3,15.5,3,4.19, no,0,1, True.
 369-8576,57,193.4,105,32.88,231.6,79,19.69,226.2,90,10.18,11.1,11,3, yes,33,2, False.
 372-6920,157,185.1,92,31.47,213,85,18.11,196.1,85,8.82,8.5,5,2.3, no,0,2, False.
 333-6575,194,193.3,106,32.86,169,150,14.37,225.2,122,10.13,11.8,4,3.19, no,0,0, False.
 410-1190,66,146.4,107,24.89,196.5,99,16.7,230.1,106,10.35,7.8,2,2.11, no,0,1, False.
 376-1641,155,71.2,90,12.1,304.4,119,25.87,183.3,103,8.25,8.6,4,2.32, no,0,0, False.
 329-6731,123,123.2,104,20.94,190,117,16.15,170.3,95,7.66,12.9,5,3.48, no,0,4, True.
 393-3976,116,205,90,34.85,140.9,114,11.98,272.6,96,12.27,7.5,4,2.03, no,0,2, False.
 388-7355,63,128.7,78,21.88,240.8,133,20.47,237.7,121,10.7,12.8,6,3.46, no,0,1, False.
 412-7791,64,216.9,78,36.87,211,115,17.94,179.8,116,8.09,11.4,5,3.08, no,0,3, False.
 368-6111,96,150,122,25.5,218.5,116,18.57,212.4,89,9.56,9.8,1,2.65, no,0,3, False.
 401-9420,53,164.1,106,27.9,206,56,17.51,194.7,124,8.76,11.4,2,3.08, no,0,1, False.
 352-5750,105,212,113,36.04,226.6,128,19.26,193.6,114,8.71,8.9,7,2.4, no,0,3, False.
 417-3702,53,167.3,99,28.44,194.7,99,16.55,236.7,112,10.65,12,9,3.24, yes,37,2, False.
 353-5714,101,154.4,130,26.25,217.2,101,18.46,185.4,52,8.34,13.9,4,3.75, no,0,1, False.
 409-9494,129,177.3,95,30.14,211.8,102,18,240.2,108,10.81,9.3,7,2.51, yes,30,3, False.
 395-1901,122,231.2,141,39.3,267.8,136,22.76,240.3,100,10.81,8.8,5,2.38, no,0,1, True.
 378-8342,163,202.9,100,34.49,178.6,46,15.18,203.8,116,9.17,12.8,3,3.46, no,0,5, False.
 417-6044,93,149.6,120,25.43,200.7,85,17.06,181.2,107,8.15,14.3,9,3.86, no,0,0, False.
 348-1163,115,345.3,81,58.7,203.4,106,17.29,217.5,107,9.79,11.8,8,3.19, no,0,1, True.
 337-4600,25,264.9,80,45.03,281.2,66,23.9,166.1,80,7.47,8.4,4,2.27, no,0,1, True.
 355-5922,73,122,92,20.74,138.3,114,11.76,224.2,128,10.09,5.8,5,1.57, no,0,1, False.
